age_group	year_of_production	rank	make_model	faults_pct	odometer_thousand_km	faults_per_thousand_km
2-3	2021–2022	1	Honda Jazz	2.4	28	0.08571428571428572
2-3	2021–2022	2	VW Golf Sportsvan	2.5	31	0.08064516129032258
2-3	2021–2022	3	Audi Q2	2.6	33	0.0787878787878788
2-3	2021–2022	3	Porsche 911 Carrera	2.6	21	0.12380952380952381
2-3	2021–2022	5	Mitsubishi ASX	2.7	40	0.0675
2-3	2021–2022	6	Mercedes-Benz B-Class	2.9	36	0.08055555555555555
2-3	2021–2022	6	VW T-Roc	2.9	34	0.08529411764705883
2-3	2021–2022	8	Mercedes-Benz GLC	3.3	53	0.062264150943396226
2-3	2021–2022	9	VW e-Golf	3.4	32	0.10625
2-3	2021–2022	10	Hyundai Tucson	3.5	37	0.0945945945945946
2-3	2021–2022	10	Suzuki Vitara	3.5	33	0.10606060606060606
2-3	2021–2022	12	Mazda 2	3.6	29	0.12413793103448276
2-3	2021–2022	13	Kia Picanto	3.8	25	0.152
2-3	2021–2022	13	Toyota RAV4	3.8	42	0.09047619047619047
2-3	2021–2022	15	Audi Q5	4.0	58	0.06896551724137931
2-3	2021–2022	15	Hyundai Kona Elektro	4.0	36	0.1111111111111111
2-3	2021–2022	15	Mercedes-Benz A-Class	4.0	40	0.1
2-3	2021–2022	18	BMW 1/2	4.2	39	0.1076923076923077
2-3	2021–2022	18	Suzuki Swift	4.2	31	0.13548387096774195
2-3	2021–2022	20	BMW 2 Active Tourer	4.3	46	0.09347826086956522
2-3	2021–2022	20	BMW X1	4.3	44	0.09772727272727272
2-3	2021–2022	22	Mini Cooper SE	4.4	25	0.17600000000000002
2-3	2021–2022	22	Volvo XC60	4.4	53	0.08301886792452831
2-3	2021–2022	24	Hyundai i10	4.5	25	0.18
2-3	2021–2022	24	Smart ForTwo	4.5	18	0.25
2-3	2021–2022	26	Audi A6/A7	4.6	68	0.06764705882352941
2-3	2021–2022	26	Hyundai ix20	4.6	30	0.15333333333333332
2-3	2021–2022	26	Renault Captur	4.6	30	0.15333333333333332
2-3	2021–2022	26	Toyota Yaris	4.6	28	0.16428571428571428
2-3	2021–2022	26	VW Touareg	4.6	57	0.0807017543859649
2-3	2021–2022	31	Audi A4/A5	4.7	60	0.07833333333333334
2-3	2021–2022	31	BMW X3/X4	4.7	53	0.08867924528301888
2-3	2021–2022	31	Hyundai Kona	4.7	32	0.146875
2-3	2021–2022	34	Mazda 3	4.8	39	0.12307692307692307
2-3	2021–2022	34	Mercedes-Benz C-Class	4.8	60	0.08
2-3	2021–2022	34	Mini	4.8	30	0.16
2-3	2021–2022	37	Audi A3	4.9	41	0.11951219512195123
2-3	2021–2022	37	Mercedes-Benz E-Class	4.9	64	0.0765625
2-3	2021–2022	37	Škoda Karoq	4.9	44	0.11136363636363637
2-3	2021–2022	40	Peugeot 2008	5.0	33	0.15151515151515152
2-3	2021–2022	40	Seat Ateca	5.0	42	0.11904761904761904
2-3	2021–2022	40	VW ID.3	5.0	33	0.15151515151515152
2-3	2021–2022	43	Citroën C3	5.1	30	0.16999999999999998
2-3	2021–2022	43	Peugeot 208	5.1	31	0.16451612903225804
2-3	2021–2022	43	VW Tiguan	5.1	49	0.10408163265306122
2-3	2021–2022	46	Cupra Formentor	5.2	33	0.1575757575757576
2-3	2021–2022	46	Nissan Qashqai	5.2	36	0.14444444444444446
2-3	2021–2022	46	VW T-Cross	5.2	27	0.1925925925925926
2-3	2021–2022	49	Kia Rio	5.3	30	0.17666666666666667
2-3	2021–2022	49	Mazda CX-3	5.3	36	0.14722222222222223
2-3	2021–2022	51	Mercedes-Benz GLE	5.4	59	0.09152542372881356
2-3	2021–2022	52	Audi Q3	5.6	42	0.13333333333333333
2-3	2021–2022	52	Ford Ecosport	5.6	28	0.19999999999999998
2-3	2021–2022	52	Mazda CX-5	5.6	39	0.14358974358974358
2-3	2021–2022	52	Opel Mokka	5.6	25	0.22399999999999998
2-3	2021–2022	56	Nissan Micra	5.7	28	0.20357142857142857
2-3	2021–2022	56	Renault Clio	5.7	32	0.178125
2-3	2021–2022	58	Kia Ceed	5.8	40	0.145
2-3	2021–2022	59	Ford Puma	5.9	31	0.1903225806451613
2-3	2021–2022	59	Renault Scenic	5.9	44	0.1340909090909091
2-3	2021–2022	59	VW ID.4/ID.5	5.9	38	0.15526315789473685
2-3	2021–2022	59	Škoda Fabia	5.9	32	0.184375
2-3	2021–2022	63	Fiat 500	6.1	24	0.25416666666666665
2-3	2021–2022	64	Ford Fiesta	6.2	33	0.1878787878787879
2-3	2021–2022	64	VW Golf	6.2	42	0.14761904761904762
2-3	2021–2022	66	Hyundai i30	6.3	38	0.16578947368421051
2-3	2021–2022	66	Opel Corsa	6.3	29	0.21724137931034482
2-3	2021–2022	66	Renault Twingo	6.0	25	0.24
2-3	2021–2022	69	Peugeot e-208	6.4	30	0.21333333333333335
2-3	2021–2022	70	BMW 3/4	6.5	60	0.10833333333333334
2-3	2021–2022	70	BMW X5/X6	6.5	64	0.1015625
2-3	2021–2022	70	VW Polo	6.5	33	0.19696969696969696
2-3	2021–2022	73	Škoda Kodiaq	6.6	64	0.103125
2-3	2021–2022	74	Kia Sportage	6.7	40	0.1675
2-3	2021–2022	74	Toyota Corolla	6.7	46	0.14565217391304347
2-3	2021–2022	74	VW Touran	6.7	56	0.11964285714285715
2-3	2021–2022	77	Opel Grandland	6.9	41	0.16829268292682928
2-3	2021–2022	78	Toyota Aygo	7.1	31	0.22903225806451613
2-3	2021–2022	78	VW Up!	7.1	35	0.20285714285714285
2-3	2021–2022	80	Fiat Panda	7.3	27	0.27037037037037037
2-3	2021–2022	81	VW e-Up!	7.5	27	0.2777777777777778
2-3	2021–2022	82	Renault Megane	7.8	47	0.16595744680851063
2-3	2021–2022	83	Seat Ibiza	7.9	33	0.2393939393939394
2-3	2021–2022	84	Dacia Sandero	8.0	32	0.25
2-3	2021–2022	85	BMW 5/6	8.2	65	0.12615384615384614
2-3	2021–2022	85	Opel Astra	8.2	47	0.17446808510638295
2-3	2021–2022	85	Seat Arona	8.2	31	0.264516129032258
2-3	2021–2022	85	VW Sharan	8.2	51	0.16078431372549018
2-3	2021–2022	89	Opel e-Corsa	8.3	29	0.28620689655172415
2-3	2021–2022	90	Dacia Duster	8.4	40	0.21000000000000002
2-3	2021–2022	90	Opel Insignia	8.4	60	0.14
2-3	2021–2022	92	Citroën Berlingo	8.7	44	0.19772727272727272
2-3	2021–2022	92	Seat Leon	8.7	43	0.2023255813953488
2-3	2021–2022	94	Audi A1	8.9	31	0.2870967741935484
2-3	2021–2022	94	Renault Zoe	8.9	30	0.2966666666666667
2-3	2021–2022	94	Škoda Citigo	8.9	29	0.30689655172413793
2-3	2021–2022	97	Ford Kuga	9.0	43	0.20930232558139536
2-3	2021–2022	98	Seat Alhambra	9.4	52	0.18076923076923077
2-3	2021–2022	98	Škoda Octavia	9.4	65	0.14461538461538462
2-3	2021–2022	100	Dacia Dokker	9.5	42	0.2261904761904762
2-3	2021–2022	101	Škoda Kamiq	9.6	34	0.2823529411764706
2-3	2021–2022	102	VW Passat	10.1	70	0.14428571428571427
2-3	2021–2022	103	Peugeot 308	10.3	51	0.2019607843137255
2-3	2021–2022	104	Opel Crossland	10.4	28	0.37142857142857144
2-3	2021–2022	104	VW Caddy	10.4	54	0.1925925925925926
2-3	2021–2022	106	Ford Focus	10.6	52	0.20384615384615384
2-3	2021–2022	107	Ford S-Max	11.3	70	0.16142857142857145
2-3	2021–2022	107	Škoda Superb	11.3	70	0.16142857142857145
2-3	2021–2022	109	Škoda Scala	11.8	43	0.2744186046511628
2-3	2021–2022	110	Ford Mondeo	13.2	72	0.18333333333333332
2-3	2021–2022	111	Tesla Model 3	14.2	53	0.2679245283018868
4-5	2019–2020	1	Porsche 911 Carrera	3.1	29	0.10689655172413794
4-5	2019–2020	2	VW Golf Sportsvan	3.6	49	0.07346938775510205
4-5	2019–2020	3	VW T-Roc	4.0	53	0.07547169811320754
4-5	2019–2020	4	Audi Q2	4.5	53	0.08490566037735849
4-5	2019–2020	4	Mercedes-Benz B-Class	4.5	50	0.09
4-5	2019–2020	6	VW e-Golf	4.6	44	0.10454545454545454
4-5	2019–2020	7	Audi A3	5.0	60	0.08333333333333333
4-5	2019–2020	7	Hyundai ix20	5.0	40	0.125
4-5	2019–2020	7	Mercedes-Benz GLC	5.0	69	0.07246376811594203
4-5	2019–2020	10	Toyota RAV4	5.1	61	0.08360655737704917
4-5	2019–2020	11	Skoda Karoq	5.3	62	0.08548387096774193
4-5	2019–2020	12	VW ID.3	5.4	35	0.1542857142857143
4-5	2019–2020	13	Honda Jazz	5.5	41	0.13414634146341464
4-5	2019–2020	14	Mitsubishi ASX	5.6	55	0.10181818181818181
4-5	2019–2020	15	Mercedes-Benz GLE	5.7	72	0.07916666666666666
4-5	2019–2020	16	Audi Q3	5.8	54	0.10740740740740741
4-5	2019–2020	16	Suzuki Vitara	5.8	54	0.10740740740740741
4-5	2019–2020	18	Mercedes-Benz C-Class	5.9	74	0.07972972972972973
4-5	2019–2020	19	Renault Captur	6.0	45	0.13333333333333333
4-5	2019–2020	20	Audi Q5	6.1	73	0.08356164383561643
4-5	2019–2020	20	Mercedes-Benz A-Class	6.1	57	0.10701754385964912
4-5	2019–2020	20	Skoda Kodiaq	6.1	81	0.07530864197530864
4-5	2019–2020	23	Mazda 2	6.2	45	0.13777777777777778
4-5	2019–2020	23	Seat Ateca	6.2	61	0.10163934426229508
4-5	2019–2020	25	VW Golf	6.3	69	0.09130434782608696
4-5	2019–2020	26	Kia Rio	6.4	51	0.12549019607843137
4-5	2019–2020	27	Audi A6/A7	6.5	83	0.0783132530120482
4-5	2019–2020	27	VW Beetle	6.5	44	0.14772727272727273
4-5	2019–2020	27	VW T-Cross	6.5	38	0.17105263157894737
4-5	2019–2020	30	Kia Picanto	6.6	41	0.16097560975609757
4-5	2019–2020	31	VW Polo	7.1	52	0.13653846153846153
4-5	2019–2020	31	VW Tiguan	7.1	71	0.09999999999999999
4-5	2019–2020	33	Audi A4/A5	7.2	81	0.08888888888888889
4-5	2019–2020	33	Ford Puma	7.2	36	0.2
4-5	2019–2020	33	Mazda CX-3	7.2	49	0.1469387755102041
4-5	2019–2020	33	VW Touareg	7.2	84	0.08571428571428572
4-5	2019–2020	37	Volvo XC60	7.3	80	0.09125
4-5	2019–2020	38	Suzuki Swift	7.4	51	0.1450980392156863
4-5	2019–2020	39	Mercedes-Benz E-Class	7.5	103	0.07281553398058252
4-5	2019–2020	40	Hyundai Kona	7.6	50	0.152
4-5	2019–2020	41	Nissan Qashqai	7.7	56	0.1375
4-5	2019–2020	41	Opel Mokka	7.7	52	0.14807692307692308
4-5	2019–2020	43	Ford Ecosport	7.9	46	0.17173913043478262
4-5	2019–2020	43	Hyundai Kona Elektro	7.9	51	0.15490196078431373
4-5	2019–2020	45	Hyundai i20	8.1	51	0.1588235294117647
4-5	2019–2020	45	Opel Adam	8.1	44	0.18409090909090908
4-5	2019–2020	47	Ford Fiesta	8.2	51	0.16078431372549018
4-5	2019–2020	47	Opel Grandland	8.2	59	0.13898305084745763
4-5	2019–2020	47	Toyota Yaris	8.2	46	0.1782608695652174
4-5	2019–2020	47	Škoda Fabia	8.2	52	0.1576923076923077
4-5	2019–2020	51	Mazda CX-5	8.5	62	0.13709677419354838
4-5	2019–2020	51	VW Touran	8.5	81	0.10493827160493827
4-5	2019–2020	51	Škoda Octavia	8.5	85	0.1
4-5	2019–2020	54	Kia Ceed	8.7	58	0.15
4-5	2019–2020	54	Seat Mii	8.7	51	0.17058823529411762
4-5	2019–2020	54	Smart ForTwo	8.7	32	0.271875
4-5	2019–2020	54	VW Up!	8.7	48	0.18125
4-5	2019–2020	58	Škoda Rapid	8.8	59	0.14915254237288136
4-5	2019–2020	59	VW e-Up!	9.0	30	0.3
4-5	2019–2020	59	Škoda Citigo	9.0	46	0.1956521739130435
4-5	2019–2020	61	Seat Arona	9.1	48	0.18958333333333333
4-5	2019–2020	62	BMW 1/2	9.2	60	0.15333333333333332
4-5	2019–2020	62	Hyundai Tucson	9.2	59	0.1559322033898305
4-5	2019–2020	62	Renault Scenic	9.2	60	0.15333333333333332
4-5	2019–2020	62	Seat Ibiza	9.2	54	0.17037037037037037
4-5	2019–2020	66	Seat Leon	9.3	68	0.13676470588235295
4-5	2019–2020	67	Hyundai i30	9.4	60	0.15666666666666668
4-5	2019–2020	67	Kia Sportage	9.4	60	0.15666666666666668
4-5	2019–2020	69	BMW 3/4	9.7	82	0.11829268292682926
4-5	2019–2020	69	Ford Kuga	9.7	63	0.15396825396825395
4-5	2019–2020	69	Nissan Micra	9.7	47	0.20638297872340425
4-5	2019–2020	72	Renault Twingo	9.8	39	0.2512820512820513
4-5	2019–2020	73	Audi A1	9.9	47	0.21063829787234042
4-5	2019–2020	73	Fiat 500	9.9	38	0.2605263157894737
4-5	2019–2020	75	Citroën C3	10.1	48	0.21041666666666667
4-5	2019–2020	76	Peugeot 208	10.3	47	0.21914893617021278
4-5	2019–2020	76	VW Passat	10.3	93	0.11075268817204302
4-5	2019–2020	78	Mazda 3	10.4	59	0.17627118644067796
4-5	2019–2020	78	Opel Corsa	10.4	47	0.22127659574468087
4-5	2019–2020	78	Toyota Aygo	10.4	45	0.23111111111111113
4-5	2019–2020	81	Ford C-Max	10.6	63	0.16825396825396824
4-5	2019–2020	81	Opel Astra	10.6	68	0.15588235294117647
4-5	2019–2020	83	Ford Focus	10.7	66	0.1621212121212121
4-5	2019–2020	83	Skoda Kamiq	10.7	40	0.26749999999999996
4-5	2019–2020	85	Škoda Superb	10.8	92	0.11739130434782609
4-5	2019–2020	86	Renault Megane	11.2	65	0.1723076923076923
4-5	2019–2020	87	Toyota Corolla	11.3	63	0.17936507936507937
4-5	2019–2020	88	BMW X3/X4	11.4	72	0.15833333333333333
4-5	2019–2020	88	Citroën Berlingo	11.4	66	0.17272727272727273
4-5	2019–2020	88	Ford Mondeo	11.4	89	0.12808988764044943
4-5	2019–2020	91	Peugeot 2008	11.5	49	0.23469387755102042
4-5	2019–2020	92	Renault Clio	11.7	53	0.22075471698113205
4-5	2019–2020	93	VW Caddy	11.9	81	0.1469135802469136
4-5	2019–2020	94	Fiat Panda	12.0	45	0.26666666666666666
4-5	2019–2020	94	Peugeot 308	12.0	71	0.16901408450704225
4-5	2019–2020	96	Ford S-Max	12.3	85	0.14470588235294118
4-5	2019–2020	97	Ford Ka+	12.5	43	0.29069767441860467
4-5	2019–2020	98	Hyundai i10	13.4	42	0.3190476190476191
4-5	2019–2020	99	Dacia Sandero	13.6	49	0.27755102040816326
4-5	2019–2020	99	Opel Insignia	13.6	84	0.1619047619047619
4-5	2019–2020	101	BMW X5/X6	14.4	83	0.17349397590361446
4-5	2019–2020	102	Renault Zoe	14.5	42	0.34523809523809523
4-5	2019–2020	103	Mini	15.6	48	0.325
4-5	2019–2020	104	Opel Crossland	15.7	43	0.3651162790697674
4-5	2019–2020	105	Dacia Duster	16.2	58	0.2793103448275862
4-5	2019–2020	106	Dacia Dokker	16.7	62	0.2693548387096774
4-5	2019–2020	107	Dacia Logan	16.8	63	0.26666666666666666
4-5	2019–2020	108	BMW X1	17.4	61	0.2852459016393442
4-5	2019–2020	109	Seat Alhambra	17.5	76	0.23026315789473684
4-5	2019–2020	110	BMW 2 Active Tourer	17.6	63	0.27936507936507937
4-5	2019–2020	111	BMW 5/6	17.7	89	0.19887640449438201
4-5	2019–2020	112	VW Sharan	18.5	83	0.22289156626506024
