year	age_group	year_of_production	rank	make_model	faults_pct	odometer_thousand_km	faults_per_thousand_km
2024	2-3	2020–2021	1	VW Golf Sportsvan	2.0	30	0.06666666666666667
2024	2-3	2020–2021	2	Audi Q2	2.1	33	0.06363636363636364
2024	2-3	2020–2021	3	Audi TT	2.1	33	0.06363636363636364
2024	2-3	2020–2021	4	Mercedes-Benz B-Class	2.6	32	0.08125
2024	2-3	2020–2021	4	Mercedes-Benz GLC	2.6	47	0.055319148936170216
2024	2-3	2020–2021	4	VW T-Roc	2.6	34	0.07647058823529412
2024	2-3	2020–2021	4	VW e-Golf	2.6	30	0.08666666666666667
2024	2-3	2020–2021	8	Mitsubishi ASX	2.9	32	0.090625
2024	2-3	2020–2021	8	Toyota RAV4	2.9	39	0.07435897435897436
2024	2-3	2020–2021	10	Audi Q5	3.3	53	0.062264150943396226
2024	2-3	2020–2021	10	Suzuki Vitara	3.3	30	0.11
2024	2-3	2020–2021	12	Peugeot 2008	3.4	30	0.11333333333333333
2024	2-3	2020–2021	13	Renault Captur	3.5	28	0.125
2024	2-3	2020–2021	14	Opel Karl	3.6	22	0.16363636363636364
2024	2-3	2020–2021	14	Suzuki SX4	3.6	30	0.12000000000000001
2024	2-3	2020–2021	14	VW T-Cross	3.6	26	0.13846153846153847
2024	2-3	2020–2021	17	Audi A6/A7	3.7	63	0.05873015873015873
2024	2-3	2020–2021	17	Mercedes-Benz A-Class	3.7	38	0.09736842105263159
2024	2-3	2020–2021	19	Hyundai ix20	3.8	21	0.18095238095238095
2024	2-3	2020–2021	20	BMW 1/2	3.9	38	0.10263157894736842
2024	2-3	2020–2021	20	Mazda 3	3.9	35	0.11142857142857143
2024	2-3	2020–2021	20	Mercedes-Benz C-Class	3.9	53	0.07358490566037736
2024	2-3	2020–2021	20	VW Touareg	3.9	56	0.06964285714285715
2024	2-3	2020–2021	24	Audi A4/A5	4.0	59	0.06779661016949153
2024	2-3	2020–2021	24	BMW 2 Active Tourer	4.0	42	0.09523809523809523
2024	2-3	2020–2021	24	Peugeot 208	4.0	28	0.14285714285714285
2024	2-3	2020–2021	24	Seat Ateca	4.0	40	0.1
2024	2-3	2020–2021	28	Audi Q3	4.1	39	0.10512820512820512
2024	2-3	2020–2021	28	Kia Picanto	4.1	25	0.16399999999999998
2024	2-3	2020–2021	30	Mazda 2	4.2	27	0.15555555555555556
2024	2-3	2020–2021	30	Opel Adam	4.2	28	0.15
2024	2-3	2020–2021	30	Opel Mokka	4.2	33	0.1272727272727273
2024	2-3	2020–2021	30	Smart ForFour	4.2	24	0.17500000000000002
2024	2-3	2020–2021	30	Škoda Karoq	4.2	43	0.09767441860465116
2024	2-3	2020–2021	35	Audi A3	4.3	41	0.1048780487804878
2024	2-3	2020–2021	35	Mercedes-Benz E-Class Coupe	4.3	40	0.1075
2024	2-3	2020–2021	37	Hyundai i20	4.4	30	0.14666666666666667
2024	2-3	2020–2021	37	Kia Rio	4.4	30	0.14666666666666667
2024	2-3	2020–2021	37	VW Golf	4.4	47	0.09361702127659575
2024	2-3	2020–2021	40	Mazda CX-3	4.5	28	0.16071428571428573
2024	2-3	2020–2021	40	Suzuki Swift	4.5	31	0.14516129032258066
2024	2-3	2020–2021	42	BMW X1	4.6	41	0.1121951219512195
2024	2-3	2020–2021	42	BMW X3/X4	4.6	50	0.092
2024	2-3	2020–2021	42	Mercedes-Benz E-Class	4.6	63	0.073015873015873
2024	2-3	2020–2021	42	Nissan Qashqai	4.6	34	0.13529411764705881
2024	2-3	2020–2021	46	Opel Corsa	4.7	28	0.16785714285714287
2024	2-3	2020–2021	47	Mini	4.9	30	0.16333333333333336
2024	2-3	2020–2021	48	Toyota Yaris	5.0	27	0.18518518518518517
2024	2-3	2020–2021	49	Renault Zoe	5.1	27	0.18888888888888888
2024	2-3	2020–2021	49	Seat Mii	5.1	34	0.15
2024	2-3	2020–2021	49	VW Tiguan	5.1	48	0.10625
2024	2-3	2020–2021	49	Škoda Fabia	5.1	31	0.16451612903225804
2024	2-3	2020–2021	53	Volvo XC60	5.2	56	0.09285714285714286
2024	2-3	2020–2021	54	Fiat Panda	5.3	27	0.1962962962962963
2024	2-3	2020–2021	54	Opel Grandland	5.3	39	0.1358974358974359
2024	2-3	2020–2021	54	Smart ForTwo	5.3	20	0.265
2024	2-3	2020–2021	57	Škoda Kodiaq	5.4	58	0.09310344827586207
2024	2-3	2020–2021	58	Ford Kuga	5.6	39	0.14358974358974358
2024	2-3	2020–2021	58	Kia Ceed	5.6	38	0.14736842105263157
2024	2-3	2020–2021	58	Kia Sportage	5.6	37	0.15135135135135133
2024	2-3	2020–2021	58	Toyota Aygo	5.6	28	0.19999999999999998
2024	2-3	2020–2021	58	VW Touran	5.6	54	0.1037037037037037
2024	2-3	2020–2021	63	Fiat 500	5.7	24	0.23750000000000002
2024	2-3	2020–2021	63	Ford Ecosport	5.7	28	0.20357142857142857
2024	2-3	2020–2021	65	Citroën C1	5.8	26	0.22307692307692306
2024	2-3	2020–2021	65	Renault Scenic	5.8	40	0.145
2024	2-3	2020–2021	65	Toyota Corolla	5.8	38	0.15263157894736842
2024	2-3	2020–2021	68	Hyundai i30	5.9	38	0.15526315789473685
2024	2-3	2020–2021	68	Renault Clio	5.9	31	0.1903225806451613
2024	2-3	2020–2021	68	VW Polo	5.9	32	0.184375
2024	2-3	2020–2021	71	Renault Twingo	6.0	25	0.24
2024	2-3	2020–2021	71	Seat Ibiza	6.0	32	0.1875
2024	2-3	2020–2021	71	Seat Leon	6.0	43	0.13953488372093023
2024	2-3	2020–2021	74	Citroën C3	6.1	30	0.2033333333333333
2024	2-3	2020–2021	74	Ford Ka+	6.1	25	0.244
2024	2-3	2020–2021	74	Seat Arona	6.1	29	0.21034482758620687
2024	2-3	2020–2021	77	VW Up!	6.2	33	0.1878787878787879
2024	2-3	2020–2021	78	Ford C-Max	6.3	34	0.18529411764705883
2024	2-3	2020–2021	78	Nissan Micra	6.3	28	0.225
2024	2-3	2020–2021	80	Ford Fiesta	6.4	34	0.18823529411764706
2024	2-3	2020–2021	80	Mazda CX-5	6.4	39	0.1641025641025641
2024	2-3	2020–2021	82	Audi A1	6.5	30	0.21666666666666667
2024	2-3	2020–2021	82	Hyundai Tucson	6.5	36	0.18055555555555555
2024	2-3	2020–2021	82	Mazda 6	6.5	44	0.14772727272727273
